text,label,clean_text_cased,clean_text_lower,label_numeric
InterContinental Hotels first-quarter global room revenue lags estimates,negative,InterContinental Hotels first-quarter global room revenue lags estimates,intercontinental hotels first-quarter global room revenue lags estimates,-1.0
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive,"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .","according to finnish pension insurance company varma , varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in finland .",1.0
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,"A portion , 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .","a portion , 12.5 million , will be recorded as part of its winnings in a prior patent dispute with finnish phone maker nokia oyj .",1.0
"L&G still paying price for dividend cut during crisis, chief says",negative,"L G still paying price for dividend cut during crisis, chief says","l g still paying price for dividend cut during crisis, chief says",-1.0
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,The volume of investments in the two phases of the project is estimated at USD 300mn EUR 215.03 mn .,the volume of investments in the two phases of the project is estimated at usd 300mn eur 215.03 mn .,0.0
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral,"Russia accounted for 9 of the Lagardere magazine division 's revenue , or EUR 114.40 mn USD 148.11 mn in 2009 , the USA - for 18 .","russia accounted for 9 of the lagardere magazine division 's revenue , or eur 114.40 mn usd 148.11 mn in 2009 , the usa - for 18 .",0.0
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,the company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached eur 141.7 million .,1.0
Profit of the accounting period was EUR 0.3 mn .,neutral,Profit of the accounting period was EUR 0.3 mn .,profit of the accounting period was eur 0.3 mn .,0.0
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .","the six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",1.0
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .","in august-october 2010 , the company 's result before taxes totalled eur 9.6 mn , up from eur 0.5 mn in the corresponding period in 2009 .",1.0
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .","systeemitiimi 's sales and project resources will also be strengthened , director paul skogberg said .",1.0
Tesco share price jumps as Q3 sales top estimates,positive,Tesco share price jumps as Q3 sales top estimates,tesco share price jumps as q3 sales top estimates,1.0
The fine print is here .,neutral,The fine print is here .,the fine print is here .,0.0
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,the price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,1.0
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .","thus , sysopen digia has , in accordance with chapter 14 section 21 of the finnish companies act 29.9.1978 - 734 , obtained title to all the shares of sentera that are to be redeemed .",0.0
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral,Diluted earnings per share EPS fell to EUR 0.63 from EUR 1.71 .,diluted earnings per share eps fell to eur 0.63 from eur 1.71 .,0.0
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,"At 3 37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of 0.45 .","at 3 37 p.m. eastern time , a block of 2,400 contracts changed hands at a bid price of 0.45 .",0.0
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .","some of the most recent technology deliveries include refinery technology to anrak aluminium , an iron ore pelletizing plant to tata steel and iron ore sintering plants to bhushan steel .",0.0
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,vips similar pattern like beginning of may. did u sell? same now..will go up much higher after this drop.,1.0
The firm generated sales of 187 mln eur in 2005 .,neutral,The firm generated sales of 187 mln eur in 2005 .,the firm generated sales of 187 mln eur in 2005 .,0.0
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral,"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .","stora enso has also had meetings with the labor authorities , employment and economic development centres and representatives of the government in order to find solutions .",0.0
AstraZeneca profit down as sales of stalwarts fade,negative,AstraZeneca profit down as sales of stalwarts fade,astrazeneca profit down as sales of stalwarts fade,-1.0
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,"RT andrewnyquist Chartology Yahoo YHOO Crazy looking chart, but nearing breakout resistance line...","rt andrewnyquist chartology yahoo yhoo crazy looking chart, but nearing breakout resistance line...",1.0
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,Most bullish stocks on Twitter during this dip. YHOO GDX GOOGL STZ GOLD EW VZ CELG SBUX SCTY more,most bullish stocks on twitter during this dip. yhoo gdx googl stz gold ew vz celg sbux scty more,1.0
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .","finnish geosentric 's net sales decreased to eur 939,000 in january-march 2009 .",-1.0
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,"Cohen Steers , Inc. 5 534 626 shares representing 4.985 of the share capital and voting rights .","cohen steers , inc. 5 534 626 shares representing 4.985 of the share capital and voting rights .",0.0
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,more staff has been recruited in japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,1.0
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",neutral,"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .","paper companies were in negative territories , with stora enso r shedding 1.62 pct to 12.73 eur , upm-kymmene down 0.80 pct at 18.64 eur and m-real b 0.18 pct lower at 5.57 eur .",0.0
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,kauko-telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and group administration by the end of the year .,0.0
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral,Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,operating profit for the quarter april-june 2006 amounted to eur182 .2 m on sales of eur3 .62 bn .,0.0
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral,Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,atria chose the delight to attract consumers in the 25-45 age group to its atria fresh range of microwaveable meals .,0.0
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral,"Finnish IT solutions provider Affecto Oyj HEL AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .","finnish it solutions provider affecto oyj hel afe1v said today its slipped to a net loss of eur 115,000 usd 152,000 in the second quarter of 2010 from a profit of eur 845,000 in the corresponding period a year earlier .",0.0
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,US sanctions put Gazprom-Shell alliance plans in jeopardy,us sanctions put gazprom-shell alliance plans in jeopardy,-1.0
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .","profit for the period was eur 10.9 mn , down from eur 14.3 mn in 2009 .",0.0
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .","profit for the period was eur 5.9 mn , up from eur 1.3 mn .",1.0
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,operating profit fell to eur 20.3 mn from eur 74.2 mn in the second quarter of 2008 .,0.0
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .","however , sales returned to growth in april-june 2010 , ceo pekka eloholma said .",1.0
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,Operating profit totaled EUR 18.6 mn or 8.3 of net sales .,operating profit totaled eur 18.6 mn or 8.3 of net sales .,0.0
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .","changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the kauhava plant , according to the company .",-1.0
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .","in connection with the deal , digia will employ 19 persons from nokia in oslo and in silicon valley in the usa .",0.0
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+̼o , as saying .",positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand o , as saying .","the brazilian unit of finnish security solutions provider f-secure signed up 1,500 new clients last year , online news source reseller web quoted the division 's commercial director , vladimir brand o , as saying .",1.0
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,neutral,The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,the fair value of the company 's investment properties went down to eur 2.768 billion at the end of 2009 from eur 2.916 billion a year earlier .,0.0
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .","dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw ebit drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",-1.0
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,"It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .","it is a testament to the quality of our lte solution and our commitment to the japanese market ' , he added .",0.0
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,the companies ' aim is to finalize the negotiations and sign the contracts at the start of october 2008 .,0.0
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral,"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .","metso foundries jyvaskyla oy will discontinue production on this line by 30 september 2008 , the company said .",0.0
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,"A total six of the polled analysts rated M-real -- two gave buy '' - accumulate '' , three gave hold '' and only one gave sell '' .","a total six of the polled analysts rated m-real -- two gave buy '' - accumulate '' , three gave hold '' and only one gave sell '' .",0.0
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .","in september 2010 , the finnish group agreed to buy danish company rose poultry a-s for up to eur23 .9 m in a combination of cash and stock .",1.0
$YANG Double bottom 5.2,positive,YANG Double bottom 5.2,yang double bottom 5.2,1.0
Tesco share price down as grocer faces SFO investigation outcome,negative,Tesco share price down as grocer faces SFO investigation outcome,tesco share price down as grocer faces sfo investigation outcome,-1.0
$aapl news is becoming very bullish again http://stks.co/tMU,positive,aapl news is becoming very bullish again,aapl news is becoming very bullish again,1.0
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",neutral,"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .","gs engineering will install the valves at a liquefied natural gas lng plant it has built for uae lng extraction and gas plants operator gasco in ruwais , uae .",0.0
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,the percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the trade register and the total number of voting rights related to them .,0.0
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,"M-Real said there are no grounds ' for the rumors , which have been circulating in the market for some months . '","m-real said there are no grounds ' for the rumors , which have been circulating in the market for some months . '",0.0
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .","lember said the matter was topical also in estonia , where a bill has been drafted at the social affairs ministry that would scrap old-age pensions on favorable conditions .",0.0
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral,- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,- moody 's said it gave p a1 long-term senior unsecured and p p-1 short-term debt ratings to finnish lender aktia bank 's eur1bn usd1 .4 bn euro medium-term note emtn program of 25 march 2011 .,0.0
$TSLA recall,negative,TSLA recall,tsla recall,-1.0
